,Number_of_Genomes,Pan_gene,class,genome_presence,,percentage,
1,0,27910,Core,Gene,26,0.269562866,
2,1,2822,Softcore,Gene,25,0.040004636,total dispensable
3,2,1320,Softcore,Gene,24,0.493499971,51096
4,3,959,Dispensible,Gene,23,,
5,4,967,Dispensible,Gene,22,,
6,5,903,Dispensible,Gene,21,,
7,6,927,Dispensible,Gene,20,,
8,7,932,Dispensible,Gene,19,,
9,8,863,Dispensible,Gene,18,,
10,9,964,Dispensible,Gene,17,,
11,10,944,Dispensible,Gene,16,,
12,11,1093,Dispensible,Gene,15,,
13,12,1167,Dispensible,Gene,14,,
14,13,1281,Dispensible,Gene,13,,
15,14,1350,Dispensible,Gene,12,,
16,15,1484,Dispensible,Gene,11,,
17,16,1659,Dispensible,Gene,10,,
18,17,1884,Dispensible,Gene,9,,
19,18,2187,Dispensible,Gene,8,,
20,19,2652,Dispensible,Gene,7,,
21,20,2958,Dispensible,Gene,6,,
22,21,3726,Dispensible,Gene,5,,
23,22,5138,Dispensible,Gene,4,,
24,23,6443,Dispensible,Gene,3,,
25,24,10615,Dispensible,Gene,2,,
26,25,20390,Private,Gene,1,0.196932527,
,,103538,,,,,